text,is_bot
"People have been held in 53 cities, from St Petersburg in the west to Vladivostok in the east.",0
The Ukrainian president says the country will not forgive or forget those who murder its civilians.,0
"Jeremy Bowen was on the frontline in Irpin, as residents came under Russian fire while trying to flee.",0
One of the worlds biggest fertiliser firms says the conflict could deliver a shock to food supplies.,0
The parents of the Manchester Arena bombings youngest victim speak about their life since she died.,0
Consumers are feeling the impact of higher energy costs as fuel prices and household bills jump.,0
"Boris Johnson is to meet the Canadian and Dutch PMs, as MPs debate new laws targeting oligarchs.",0
"The home secretary says she is surging capacity as about 1 of 5,500 applications are granted.",0
"TikTok suspends live streaming and new content from its platform, while Russians can no longer access Netflix.",0
Five things you need to know about the coronavirus pandemic this Monday morning.,0
"People have been held in 53 cities, from St Petersburg in the west to Vladivostok in the east.",0
More than 1.5 million Ukrainians have fled the country. Heres what you need to know after day 11 of the war.,0
Russian gymnast Ivan Kuliak is being investigated after wearing a national war symbol on his leotard as he stood next to a Ukrainian rival on the podium in Qatar on Saturday.,0
"A Polish couple, messaged from Taiwan, have come to meet a Ukrainian refugee  welcome to Przemysl.",0
"Ukraines youngest cabinet minister, 31yearold Mykhailo Fedorov, is leading a cyberbattle against Russia.",0
"Within hours of Russias invasion, all over Ukraine, volunteers offered their services.",0
Several US presidents have failed to get the measure of him but now Europe has joined the fray things may change.,0
"Maxim, a 27yearold city resident, tells the BBC what happened after the first ceasefire collapsed.",0
Conspiracy theories and trolls are adding to the chaos of war.,0
"A ceasefire agreement in the southern city of Mariupol, breaks down a second time, with both sides blaming each other.",0
Prices for everyday items could go up at a time when the cost of living is already rising.,0
"In Ukraine, families are having to adapt to being at war. But what do you tell the children",0
"The video, shared by Ukrainian armed forces, shows the helicopter being hit by a missile.",0
"The shifting of European historys tectonic plates is not really that unexpected, explains Kevin Connolly.",0
Russia is being hit by a global backlash after it invaded Ukraine. How does it feel to be shunned,0
These Ukrainians say their Russian relatives only trust the narratives they see on TV at home.,0
"After Russia seizes two nuclear plant sites, experts weigh the risk to Ukraine and the world at large.",0
There are both strategic and historical reasons why the offensive in southern Ukraine is vital for Russia.,0
Civilian attempts to flee Ukrainian cities being targeted by Russian forces lead Mondays papers.,0
"Lesya and Valeri, both civil defence volunteers, tied the knot at a checkpoint near Kyiv.",0
The NGO Herosi are trying to find places for the patients in medical care across Europe.,0
A mother whose son died from heart disease urges parents to know the signs and trust their instincts.,0
Lynette Lee survived the Zeebrugge ferry disaster 35 years ago  one that killed 193 people.,0
A student at Queens University Belfast used his daily walks to record the sounds of Covid lockdowns.,0
The parents of fiveyearold Isla say she is the only child in the world with a rare condition.,0
The moment a man swims out of the path of a container ship off Southampton is captured on a phone.,0
Correspondents and experts answer questions from readers on the BBC News website,0
"Adtesting firms are using realtime software, webcams to find out if ads resonate with customers.",0
Ground penetrating radar will give a clearer picture of the story of Trimontium in the Borders.,0
President Putin has for years warned Russias richest to protect themselves against sanctions.,0
"Russia answers resistance with big guns and sieges. Ukrainians pray that will not happen to them, writes the BBCs Jeremy Bowen in Kyiv.",0
The awardwinning director is championing women in Hollywood after a break away from the big screen.,0
"In the second week of war, the BBCs Ukrainian editor says empty shelves are an increasing reality.",0
President Putins devastating attack on Ukraine leaves countries in the region worried about their future.,0
Two writers on being Welsh when your appearance does not match an accepted aesthetic of Welshness.,0
The pandemic and changing family structures have highlighted how young parents are struggling with childcare.,0
Manchester United legends savage the clubs performance in their 41 derby defeat by Manchester City.,0
England seam bowler Ollie Robinson has been ruled out of the first Test against West Indies with a back injury.,0
Who is a candidate for manager of the season Who could play until hes 40 And who is back to their best Find out in Garth Crooks latest Team of the Week.,0
Joe Perry beats Judd Trump 95 to win the Welsh Open title for the first time at Celtic Manor Resort in Newport.,0
Britains Menna Fitzpatrick and Neil Simpson both win their second medals of the Beijing Winter Paralympics with super combined bronze.,0
